station_id,name,lat,lon
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954
7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893
7002,St. George St / Bloor St W,43.66713121831853,-79.3995550638237
7003,Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172
7005,King St W / York St,43.6480008,-79.383177
7006,Bay St / College St (East Side),43.660439,-79.385525
7007,College St / Huron St,43.658148,-79.398167
7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125
7009,King St E / Jarvis St,43.65018138396698,-79.37252303439331
7010,King St W / Spadina Ave,43.64514249449372,-79.39510358283808
7013,Scott St / The Esplanade,43.64659663170443,-79.37530913867988
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
7015,King St W / Bay St (West Side),43.64852,-79.380576
7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785
7017,Widmer St / Adelaide St W - SMART,43.647547634759206,-79.39155200496292
7018,Bremner Blvd / Rees St,43.641529,-79.386741
7019,Temperance St Station,43.650945,-79.379498
7020,Phoebe St / Spadina Ave,43.650033,-79.396555
7021,Bay St / Albert St,43.653264,-79.382458
7023,College St / Borden St,43.6571,-79.4056
7024,Dundonald St / Church St,43.66663,-79.38148
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471
7026,Bay St / St. Joseph St,43.665527,-79.387499
7027,Beverley St / Dundas St W,43.652823,-79.393388
7028,Gould St / Mutual St,43.6582,-79.3768
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915
7030,Bay St / Wellesley St W,43.664088,-79.387095
7031,Jarvis St / Isabella St,43.668991,-79.379385
7032,Augusta Ave / Dundas St W,43.652473,-79.401456
7033,Union Station,43.645609,-79.380386
7034,Church St / Bloor St E,43.671389,-79.382919
7035,Queen St W / Ossington Ave,43.643975,-79.419576
7036,Trinity St /Front St E,43.651318,-79.36023
7037,Bathurst St / Dundas St W,43.6518918789007,-79.40577861712723
7038,Dundas St W / Yonge St,43.656094,-79.381484
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087
7040,Euclid Ave / Bloor St W,43.664467,-79.414783
7041,Edward St / Yonge St,43.656729,-79.382736
7042,Sherbourne St / Wellesley St E,43.6673,-79.374
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717
7044,Church St / Alexander St,43.663722,-79.380288
7045,Bond St / Queen St E,43.653236,-79.376716
7046,Niagara St / Richmond St W,43.64534,-79.409597
